"","OTU","KS p.value","Wilcox p.value"
"40","Veillonella",0,3.51211540562979e-28
"131","Streptococcus",0,3.78758447098612e-19
"16","Haemophilus",0,3.92808626968848e-19
"91","Megasphaera",0,4.32142802474583e-18
"122","Campylobacter",1,1.72450087509632e-17
"41","Lactobacillus",0,5.16560496751429e-13
"42","Actinobacillus",1,1.74242210513628e-12
"139","Rothia",1,3.24046458554031e-12
"25","Gemella",1,3.79756693085299e-12
"156","Granulicatella",1,7.61675659710661e-12
"8","Aggregatibacter",1,7.64458458334478e-12
"181","Actinomyces",1,5.15825517475221e-11
"103","Bilophila",1,8.37694914338102e-11
"20","Neisseria",1,2.03529786518058e-10
"175","Dialister",1.3440982771229e-09,2.55313660529045e-10
"73","Coprococcus",0,2.68522508709386e-10
"163","Subdoligranulum",0,3.28063274130877e-10
"6","Adlercreutzia",1,4.13703821690573e-10
"70","Atopobium",1,6.88305793595928e-10
"24","Selenomonas",1,1.15482215076681e-09
"23","Oscillibacter",0,1.50534296019293e-09
"172","Leptotrichia",1,1.52427610304334e-09
"94","Bacteroidales",7.31955718258348e-10,1.756095080397e-09
"129","Anaeroglobus",1,7.89104509444595e-08
"85","Coprobacillus",0,1.03103383914346e-07
"125","Pantoea",1,1.38668545205551e-07
"97","Eikenella",1,5.52312813990738e-07
"159","Clostridium",0,8.22833231909695e-07
"96","Leptotrichiaceae",1,8.81175256729888e-07
"10","Eubacterium",0.000475244853514911,9.4646168456004e-07
"7","Ruminococcus",5.17585974080248e-13,9.49558377969933e-07
"124","Butyricimonas",1,9.74258619047337e-07
"174","Oxalobacter",1,1.21127227204827e-06
"17","Clostridiales",1,1.66533141904375e-06
"38","Alistipes",1.00869532515535e-06,1.67631611221617e-06
"110","Alloprevotella",1,1.78629363326289e-06
"107","Peptostreptococcus",1,7.66973464444634e-06
"62","Fusobacterium",0,1.44250440600222e-05
"160","Odoribacter",4.41663694505934e-09,2.02191418522406e-05
"182","Dorea",1,2.80394340118183e-05
"35","Gordonibacter",1,4.82922181267536e-05
"90","Lautropia",1,5.5363803961914e-05
"58","Barnesiella",1.0449419107772e-12,0.000135555939888054
"137","Roseburia",1.27414748307686e-07,0.000293657653405511
"52","Clostridiales Family XIII. Incertae Sedis",1,0.000439865282555628
"93","Olsenella",1,0.000446843045042986
"121","Bacteroides",0.561801638510711,0.000490629510107874
"60","Oribacterium",1,0.000492526391156366
"87","Enterococcus",1,0.00058605479083425
"4","Solobacterium",1,0.000600833047698419
"133","Stomatobaculum",1,0.000621380740033097
"138","Prevotella",1.3440982771229e-09,0.000987463753653316
"28","Candidatus Saccharibacteria",1,0.00120487445174854
"18","Scardovia",1,0.00142405157238206
"95","Blautia",5.97299987248334e-14,0.00166995736027496
"150","Parasutterella",1,0.00175519266327076
"145","Collinsella",1,0.00207566884205948
"32","Peptostreptococcaceae",0,0.00280595598626459
"63","Staphylococcus",1,0.00282145595438615
"50","Klebsiella",0,0.00292492179482935
"26","Burkholderiales",1,0.00295951584619861
"168","Enterobacter",1.33226762955019e-15,0.00298832194141832
"128","Faecalibacterium",0.297903793197518,0.00391263429281745
"3","Holdemania",1,0.0040862800988061
"80","Parabacteroides",1.73481404978082e-05,0.0045374346545781
"99","Shuttleworthia",1,0.00480964822822809
"83","Raoultella",1,0.00627230793445573
"101","Weissella",1,0.00729381230588063
"184","Coprobacter",1,0.00873396536844164
"115","Alloscardovia",0.994884437459688,0.0108720071617328
"130","Lachnospiraceae",0,0.0115667935168652
"36","Cardiobacteriaceae",1,0.0115848712336533
"180","Desulfovibrio",1,0.0138700179120725
"12","Cardiobacterium",1,0.0150874431548898
"132","Saccharomyces",1,0.0150874431548898
"167","Anaerotruncus",1,0.0172571129427556
"151","Abiotrophia",1,0.0268932549869366
"71","Escherichia",0,0.0277174370802788
"146","Aeromonas",0.915523608035244,0.0313642008019212
"147","Pseudoflavonifractor",1,0.0354131684979355
"74","Butyricicoccus",1,0.0389601917735448
"29","Actinopolyspora",1,0.0409839473800305
