"","OTU","KS p.value","Wilcox p.value"
"133","Rothia",1,0.000132020566141964
"90","Deinococcus",1,0.000756367613204033
"15","Haemophilus",0,0.0023416569732702
"132","Marvinbryantia",1,0.00639220375145959
"37","Veillonella",0,0.0074815252312204
"179","Granulicella",1,0.00963185959108884
"41","Akkermansia",2.03392858111329e-13,0.0110474315306498
"164","Butyrivibrio",0,0.0118521181933548
"119","Ruminococcaceae",1,0.0145403987515649
"177","Actinomyces",1,0.0180454596059865
"110","Chromobacterium",1,0.0184864741687311
"95","Olsenella",1,0.0260485701549024
"171","Oxalobacter",1,0.0271650850777878
"144","Pseudoflavonifractor",1,0.0391219776472806
"68","Porphyromonas",1,0.0413307062163628
"75","Butyricicoccus",1,0.0413710889137152
"20","Flavonifractor",1,0.0441102275952849
"101","Methanobrevibacter",6.66133814775094e-16,0.0443059440645741
"118","Pantoea",1,0.0476995849885261
"81","Sutterella",1.28344889855914e-05,0.0517311739652323
"70","Pseudomonas",1,0.0528539821385839
"19","Subdoligranulum",0.169007319211226,0.0547889644399954
"18","Neisseria",1,0.055151779192335
"159","Spiroplasma",1,0.055151779192335
"169","Synergistes",1,0.055151779192335
"117","Butyricimonas",1,0.0575275052142529
"162","Anaerotruncus",1,0.062082976247746
"43","Parvimonas",1,0.0689022460643594
"11","Anaerofustis",1,0.0689029860170448
"40","Actinobacillus",1,0.073481141698406
"124","Streptococcus",0,0.0753155556917519
"123","Lachnospiraceae",0,0.0804930970503226
"104","Methanocaldococcaceae",1,0.0833354544300331
"63","Staphylococcus",1,0.0886048449602189
"33","Slackia",1,0.0916389785388418
"160","Brevibacterium",1,0.097156459643422
"3","Shigella",1,0.0975925562644285
"96","Bacteroidales",0,0.0976671303157952
"131","Prevotella",7.96239074674077e-10,0.0997316390180128
"32","Gordonibacter",1,0.104595702752588
"80","Dermatophilaceae",1,0.10646591676637
"178","Dorea",1,0.109132436361752
"125","Saccharomyces",1,0.116527186694495
"16","Clostridiales",6.66133814775094e-16,0.12557043281796
"23","Selenomonas",1,0.139416560639093
"29","Acidaminococcaceae",1,0.150669873079504
"84","Coriobacteriaceae",1,0.152162557541636
"176","Desulfovibrio",1,0.156002838835477
"141","Collinsella",1,0.157397293275847
"102","Bilophila",1,0.160019036264134
"71","Atopobium",1,0.17649518841266
"1","Thermus",1,0.177278376626882
"9","Caulobacter",1,0.177278376626882
"42","Hafnia",1,0.177278376626882
"50","Riemerella",1,0.177278376626882
"83","Lachnoanaerobaculum",1,0.177278376626882
"126","Stomatobaculum",1,0.177278376626882
"147","Abiotrophia",1,0.177278376626882
