"","OTU","KS p.value","Wilcox p.value"
"97","Coprobacillus",0,1.43259633506798e-06
"19","Haemophilus",0,2.16887399144351e-06
"105","Olsenella",5.81008285926998e-09,3.96000003837429e-06
"37","Peptostreptococcaceae",0,6.2761575934705e-06
"148","Roseburia",1.11022302462516e-16,1.42772577841581e-05
"46","Lactobacillus",0,3.86148476039175e-05
"20","Clostridiales",0,0.000106283844440397
"138","Faecalibacterium",0.0163105315747856,0.000606985401328547
"34","Eggerthella",1,0.000975412927202112
"39","Gordonibacter",1,0.00136803607965559
"31","Anaerococcus",1,0.00257792941845053
"166","Peptoniphilus",1,0.00285397213605313
"47","Actinobacillus",1,0.00325763794491812
"187","Anaerotruncus",1,0.0042117927857893
"200","Synergistes",0.999999999999009,0.00494099064949547
"14","Erysipelotrichaceae",0,0.00634282089215255
"100","Deinococcus",1,0.00844099224534464
"191","Butyrivibrio",1.37978517500414e-12,0.00859566051286377
"45","Veillonella",0,0.00864666611801236
"103","Megasphaera",3.7505554217887e-12,0.00884014704958307
"176","Citrobacter",7.87114226097341e-06,0.00901227065934076
"27","Oscillibacter",0,0.0111603108147126
"36","Acidaminococcaceae",0.000559385889825514,0.0121408521828268
"177","Clostridium",0,0.0124274286116868
"173","Acidaminococcus",0.00124211000471308,0.0127589178894218
"198","Varibaculum",1,0.0151718565256905
"92","Parabacteroides",0,0.0171662389220954
"67","Finegoldia",1,0.0186623592164618
"125","Alloscardovia",1,0.0195576437242953
"121","Parascardovia",1,0.0358201392630781
"70","Bifidobacterium",0,0.0362991332289989
"139","Anaeroglobus",0.999142391986174,0.0363118760868258
"130","Cryptobacterium",1,0.0479986815712905
"94","Coriobacteriaceae",1,0.0488587077044953
"3","Holdemania",1,0.0496365992965633
"175","Pseudoalteromonadaceae",1,0.0535962263625819
"61","Comamonas",1,0.0600728474842301
"101","Clostridiaceae",1,0.0603255722321585
"64","Morganella",1,0.0621942365076343
"48","Akkermansia",6.16173778666962e-14,0.0628248764160274
"12","Anaerofustis",1,0.0700719453026971
"189","Enterobacter",1.62453384078276e-11,0.0704655980733711
"107","Blautia",1.00215423959327e-07,0.0725022680984613
"16","Kocuria",1,0.0788831239797776
"123","Bacillus",1,0.0788831239797776
"193","Pseudoramibacter",1,0.0872929238194879
"182","Cellulophaga",1,0.102050182390362
"135","Pantoea",1,0.102574610671388
"24","Subdoligranulum",0,0.11820091100451
"2","Shigella",1,0.12245442695108
"32","Candidatus Saccharibacteria",1,0.130123432000626
"99","Enterococcus",0.000559385889825514,0.13763771376015
"62","Chlorobium",1,0.137964117564547
"4","Vibrio",1,0.152130822881493
"52","Mycoplasma",1,0.152130822881493
"87","Microlunatus",1,0.152130822881493
"133","Cronobacter",1,0.152130822881493
"160","Aeromonas",1,0.152130822881493
"196","Sphingobium",1,0.152130822881493
"168","Abiotrophia",1,0.15230972114515
"21","Scardovia",1,0.154002472452642
"35","Mobiluncus",1,0.163490262859619
"71","Halobacteroidaceae",1,0.163490262859619
"128","Xanthomonas",1,0.163490262859619
"154","Providencia",1,0.163490262859619
"202","Dialister",0.0890724834685336,0.163822437885815
"210","Actinomyces",1,0.165251751462868
"57","Clostridiales Family XIII. Incertae Sedis",1,0.170613392562418
"164","Pseudoflavonifractor",1,0.175146573986499
"112","Bilophila",1,0.176047856826108
"129","Halomonas",1,0.187068624027969
"181","Plesiomonas",1,0.187068624027969
"149","Prevotella",1.0458300891969e-13,0.195586337003026
"120","Alloprevotella",1,0.202165730517756
"81","Gardnerella",1,0.20557888094698
"119","Pediococcus",1,0.210456263800706
"44","Saccharomycetaceae",1,0.21918179403648
"56","Acinetobacter",1,0.233959985380326
"201","Oxalobacter",1,0.274190410952761
"75","Porphyromonas",1,0.278239684939334
"91","Sutterella",5.45745048431412e-05,0.289410630780234
"7","Ruminococcus",0.00541698183484363,0.29352257147601
"131","Bacteroides",0.00541698183484363,0.29517989493667
"10","Caulobacter",1,0.312886042455766
"13","Cupriavidus",1,0.312886042455766
"17","Shinella",1,0.312886042455766
"18","Variovorax",1,0.312886042455766
"23","Mesorhizobium",1,0.312886042455766
"28","Selenomonas",1,0.312886042455766
"49","Pseudoxanthomonas",1,0.312886042455766
